Team 1,Team 2,Winner,Margin,Ground,Match Date
Bangladesh,Pakistan,Pakistan,7 wickets,Moratuwa,"Mar 31, 1986"
Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Kandy,"Apr 2, 1986"
Bangladesh,India,India,9 wickets,Chattogram,"Oct 27, 1988"
Bangladesh,Pakistan,Pakistan,173 runs,Chattogram,"Oct 29, 1988"
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"Nov 2, 1988"
Bangladesh,New Zealand,New Zealand,161 runs,Sharjah,"Apr 28, 1990"
Australia,Bangladesh,Australia,7 wickets,Sharjah,"Apr 30, 1990"
India,Bangladesh,India,9 wickets,Chandigarh,"Dec 25, 1990"
Bangladesh,Sri Lanka,Sri Lanka,71 runs,Kolkata,"Dec 31, 1990"
Bangladesh,India,India,9 wickets,Sharjah,"Apr 5, 1995"
Bangladesh,Sri Lanka,Sri Lanka,107 runs,Sharjah,"Apr 6, 1995"
Bangladesh,Pakistan,Pakistan,6 wickets,Sharjah,"Apr 8, 1995"
Bangladesh,Pakistan,Pakistan,109 runs,Colombo (RPS),"Jul 16, 1997"
Sri Lanka,Bangladesh,Sri Lanka,103 runs,Colombo (SSC),"Jul 22, 1997"
Bangladesh,India,India,9 wickets,Colombo (SSC),"Jul 24, 1997"
Kenya,Bangladesh,Kenya,150 runs,Nairobi (Gym),"Oct 10, 1997"
Bangladesh,Zimbabwe,Zimbabwe,48 runs,Nairobi (Gym),"Oct 11, 1997"
Bangladesh,Zimbabwe,Zimbabwe,192 runs,Nairobi (Aga),"Oct 14, 1997"
Kenya,Bangladesh,Kenya,8 wickets,Nairobi (Aga),"Oct 15, 1997"
Bangladesh,India,India,4 wickets,Dhaka,"Jan 10, 1998"
Bangladesh,Pakistan,Pakistan,9 wickets,Dhaka,"Jan 12, 1998"
India,Bangladesh,India,5 wickets,Mohali,"May 14, 1998"
Bangladesh,Kenya,Bangladesh,6 wickets,Hyderabad (Deccan),"May 17, 1998"
Bangladesh,Kenya,Kenya,28 runs,Chennai,"May 23, 1998"
India,Bangladesh,India,5 wickets,Wankhede,"May 25, 1998"
Bangladesh,Pakistan,Pakistan,152 runs,Dhaka,"Mar 16, 1999"
Bangladesh,Kenya,Kenya,8 wickets,Dhaka,"Mar 20, 1999"
Bangladesh,Zimbabwe,Zimbabwe,126 runs,Dhaka,"Mar 21, 1999"
Bangladesh,Kenya,Kenya,73 runs,Dhaka,"Mar 24, 1999"
Bangladesh,Zimbabwe,Zimbabwe,3 wickets,Dhaka,"Mar 25, 1999"
Bangladesh,New Zealand,New Zealand,6 wickets,Chelmsford,"May 17, 1999"
Bangladesh,West Indies,West Indies,7 wickets,Dublin,"May 21, 1999"
Scotland,Bangladesh,Bangladesh,22 runs,Edinburgh,"May 24, 1999"
Australia,Bangladesh,Australia,7 wickets,Chester-le-Street,"May 27, 1999"
Bangladesh,Pakistan,Bangladesh,62 runs,Northampton,"May 31, 1999"
Bangladesh,West Indies,West Indies,73 runs,Dhaka,"Oct 8, 1999"
Bangladesh,West Indies,West Indies,109 runs,Dhaka,"Oct 9, 1999"
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"May 29, 2000"
Bangladesh,India,India,8 wickets,Dhaka,"May 30-31, 2000"
Bangladesh,Pakistan,Pakistan,233 runs,Dhaka,"Jun 2, 2000"
Bangladesh,England,England,8 wickets,Nairobi (Gym),"Oct 5, 2000"
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,"Apr 7, 2001"
Zimbabwe,Bangladesh,Zimbabwe,127 runs,Harare,"Apr 8, 2001"
Zimbabwe,Bangladesh,Zimbabwe,36 runs,Bulawayo,"Apr 11, 2001"
Bangladesh,Zimbabwe,Zimbabwe,5 wickets,Chattogram,"Nov 23, 2001"
Bangladesh,Zimbabwe,Zimbabwe,42 runs,Dhaka,"Nov 25, 2001"
Bangladesh,Zimbabwe,Zimbabwe,7 wickets,Dhaka,"Nov 26, 2001"
Bangladesh,Pakistan,Pakistan,49 runs,Chattogram,"Jan 22, 2002"
Bangladesh,Pakistan,Pakistan,72 runs,Dhaka,"Jan 24, 2002"
Bangladesh,Pakistan,Pakistan,8 wickets,Dhaka,"Jan 25, 2002"
Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (SSC),"Aug 4, 2002"
Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Colombo (SSC),"Aug 5, 2002"
Sri Lanka,Bangladesh,Sri Lanka,58 runs,Colombo (RPS),"Aug 7, 2002"
Australia,Bangladesh,Australia,9 wickets,Colombo (SSC),"Sep 19, 2002"
Bangladesh,New Zealand,New Zealand,167 runs,Colombo (SSC),"Sep 23, 2002"
South Africa,Bangladesh,South Africa,168 runs,Potchefstroom,"Oct 3, 2002"
South Africa,Bangladesh,South Africa,10 wickets,Benoni,"Oct 6, 2002"
South Africa,Bangladesh,South Africa,7 wickets,Kimberley,"Oct 9, 2002"
Bangladesh,West Indies,no result,,Chattogram,"Nov 29, 2002"
Bangladesh,West Indies,West Indies,84 runs,Dhaka,"Dec 2, 2002"
Bangladesh,West Indies,West Indies,86 runs,Dhaka,"Dec 3, 2002"
Bangladesh,Canada,Canada,60 runs,Durban,"Feb 11, 2003"
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,"Feb 14, 2003"
